id,Title,Country-City,url,Phone,Email,Website,Instagram,Linkedin,WhatsApp,Facebook,YouTube,Telegram,Vkontakte,Twitter,Viber
29,GANZHOU AMER IMPORT&EXPORT CO.,China - Ganzhou,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x758095dc84e8a04cb8c796450711e194,86-0797-8175268,249826114@qq.com,www.amerdecor.com,,,0086 15157424927,,,,,,
30,TRADING COMPANY ALLIANCE,Russia - Perm,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x74c170d74aff12469595d05c92de1ae0,8(342)2009697,"politecomdir@outlook.com, info@super-top.su",www.super-top.su,,,,,,,,,
31,BASTAU ALMATY,Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x8162bd396bc9787911ee3b70f3b3b38b,+7-701-201-22-88,sales@smartprof.kz,smartprof.kz,@smartprof.kz,,+7-701-201-22-88,,https://www.youtube.com/channel/UCNxGb-jKqJR42bpb01xB5Kw,,,,
32,BAUER MASCHINEN GMBH,Germany - Schrobenhausen,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x56211602423e6e42847d00446f755888,+49 8252 97-0,wladislaw.kiselev@bauer.de,bma.bauer.de,,https://www.linkedin.com/company/bauer-group-/?viewAsMember=true,,https://www.facebook.com/BauerAGgroup,https://www.youtube.com/channel/UCDspCJHwokVnlFWfIyAC39A,,,,
33,BAUNER,Kazakhstan - Astana,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xdf52ff6c9acda14fb3beb368b6490ffd,+7172549371,ast.bauner@yandex.kz,,,,+77477083447,,,,,,
34,BBTRADE,Kyrgyzstan - Bishkek,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xd412241e77ac3a4392e3674ad75e97be,+996995939939,info@bbtsale.com,hexagoncomposites.ru,hexagon_ragasco_cis,,+996(995) 939 939,Hexagon Ragasco KGZ,Hexagon Ragasco,Hexagon Ragasco СНГ,,,
35,BELYI DOM AND SNIEZKA,Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x815fd72d4048f5ef11ee21fc385fe590,"+7-727-253-05-03, 253-05-64, 253-04-70, 253-03-23",a22n@mail.ru,bdkz.kz,,,,,,,,,
36,BERLOGA LLC,Russia - Yoshkar-Ola,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x99c422edec6f2d4194f048011410864c,+7-917-070-21-01,tokanina.v@dveriargus.ru,dveriargus.ru,,,,,,,,,
37,BERSERKER GROUP,Russia,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x8162bd396bc9787911ee3b768a2d0fe7,,,,,,,,,,,,
38,BESTTONY GROUP,Kazakhstan - Astana,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xc3f89cfee7f5c8498c8085062202c311,+77761977924,sales@besttony.kz,besttony.kz,,,,,,,,,
39,BIANCHI CASSEFORME SRL,Italy - Fornovo Di Taro (PR),https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x98716d3c732eda44a61ac81c88e84eab,+390525400531,info@bianchiprecastgroup.com,www.bianchiprecastgroup.com,https://www.instagram.com/bianchi_technology_for_precast/,https://www.linkedin.com/company/bianchi-casseforme-srl/,+7 967 191 0631,https://www.facebook.com/bianchicasseforme/,https://www.youtube.com/channel/UC7sNyGFGNZHHPfdnlQFdxng,+7 967 191 0631,,https://twitter.com/bianchicassefor,
40,BORJ TILE,Iran - Yazd,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x97120928c5451d4189822cca754834ec,+983532258067,info@borjtile.co,borjtile.co,borjtile.co,,+989134526387,,,+989134526387,,,
41,BOSTIK,Russia,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x4b1c312fb81f4949bf526f2682051976,,,,,,,,,,,,
42,BRANDTAPE,Russia - Ekaterinburg,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xb7f9bba5b1b8f744989b1cdb2ddad8b7,+79588838240,at@brandtape.ru,brandtape.kz,,,+7-747-962-80-28,,,@Brandtape2005,,,
43,NELISSEN BRICKS,Belgium - Lanaken,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x3f0d3c080709ea43a4d3e9aa8cccf8f9,+32 12 44 02 44,jeroen.bartels@nelissen.be,www.nelissen.be,https://www.instagram.com/nelissen_bricks/,https://www.linkedin.com/company/nelissen-steenfabrieken/,,https://www.facebook.com/nelissenbricks/?fref=mentions,https://www.youtube.com/channel/UC12Sr9H5HDGF_sRiapsepyA,,,,
44,XI'AN BRICTEC ENGINEERING CO.,China - Xi'an,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xddd11adc4d22e3429d39244563d621bc,0086 17392286280,sales05@brictec.com,www.brictec.com,,Xi'an Brictec Engineering,+86 17392286280,Brictec Brictec,,+86 17392286280,,,
45,CAD.KZ,Kazakhstan - Astana,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x815fd72d4048f5ef11ee21fc385fe592,"+7 7172 57 70 75, 57 80 28, +7 771 936 50 20",office@cad.kz,cad.kz,https://www.instagram.com/cad.kz_inst,https://www.linkedin.com/company/%D1%82%D0%BE%D0%BE-cad-kz/,77015501893,https://www.facebook.com/CADkz.old.page,https://youtube.com/@CADkz-gc2rp,https://t.me/cadkz,VK: https://vk.com/cadkz,,
46,CENTER FOR ENTREPRENEURSHIP DEVELOPMENT AND EXPORT SUPPORT OF THE IVANOVO REGION,Russia,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x448419aa4b56c049b667d4d14fb6ebf3,+7 (4932) 66-67-67,a.kochetkova@moybiznes37.ru,www.мойбизнес37.рф,,,,,,,,,
47,CHANGZHOU DONGJIA DECORATIVE MATERIALS CO.,China - Changzhou,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x9f02ab042425bc46a1a7daf41f74ae7a,0086-519-88723007,cassie@dongjiacn.com,www.dongjiacn.com,,,,,,,,,
48,CHESHT STONE,Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x4c7d03600a52cb458fcabd876eb1797a,"+77087099998, +77004120000",chesht.stone1@gmail.com,chesht.stone1.com,,,,,,,,,
49,COFFEE HOUSE,,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x8162bd396bc9787911ee3cb3a1b48339,,,,,,,,,,,,
50,CONFERENCE HALL,,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x8162bd396bc9787911ee3a97bf655006,,,,,,,,,,,,
51,CONTINENTAL,Russia - Voronezh,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x988adfd642306647a4cba91f375238f4,,,,,,,,,,,,
52,COSCA DECOR,Russia - Saint-Petersburg,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x625df0f7e3eb764fb27dc6ead9ea1b7f,+7(812) 409-15-55,sales@coscadecor.com,www.coscadecor.com,,,+79819898961,,,+79819898961,,,
53,COSMEC SRL,Italy - Verona,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x825d24993e8eaf44b8b1a6bea71a7708,+39 045 232 2635,mirko.rorer@cosmec-italy.com,www.cosmec-italy.com,,https://www.linkedin.com/company/cosmecitalysrl/,+39 347 968 0891,,https://www.youtube.com/@cosmecsrlitaly4359,,,,
54,CRISTALL,Russia,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x8162bd396bc9787911ee3b768a2d0fe9,,,,,,,,,,,,
55,CSK KAZAHSTAN,Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x41e5120946dc88489a0de389683508d3,+77013489604,info.kz@td-csk.ru,tdcsk.kz,tdcsk_kz,,,,,,,,
56,DECOR KZ,Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x391aa031e747514a94dfde31afa97423,+7 (771) 402-88-97,pro@decorkz.kz,decorkz.kz,,,,,,,,,
57,DEKOR VINIL,Russia - Perm,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x8160e9aa7a0cc79311ee3292f90f1a7d,"+7(342)2-93-63-45, +79523289560",dimonsin@mail.ru,www.dekor-vinil.ru,,,,,,,,,
58,DMITRIEVSKY CHEMICAL PLANT,"Russia - Ivanovo region, Kineshma",https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x1832f61d17ef9a498875ff8fe0586f69,+7(495)204-29-65,info@dcpt.ru,www.dcpt.ru,,,,,https://www.youtube.com/@ultimaxgravity,,,,
59,DOCKE ASIA,Kazakhstan,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x98fd1350080df44ea1d5aec733b22387,,,,,,,,,,,,
60,DONGYUE MACHINERY GROUP CO.,China - Linyi,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x8e7693e3d58faa45be18143686eed315,008618369513975,michael@donyuegroup.com,www.dongyuegroup.com,,,008618369513975,https://www.facebook.com/profile.php?id=100015973951065,,,,,
61,DORREN,Russia - Cheboksary,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xb82d43b581f17a48a681f6b9aadb8127,+79111253380,av@dorren.ru,,,,,,,,,,
62,DUBAI ECONOMIC DEVELOPMENT CORPORATION,United Arab Emirates,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x1fb71b093e0db54cac80ce3dee6a4f8f,,,,,,,,,,,,
63,DURAY,Russia - Perm,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x50b7c8bde4a8a84c94ddc20217790a82,+7 (342) 209-57-57,info@duray.ru,duray.ru,,,,,,,,,
64,DVERI GOOD,Russia - Omsk,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x8162bd396bc9787911ee3b62271d05f9,89006776588,opt@goodomsk.ru,www.dverrr.ru,,,,,,,,,
65,PVF DEOL,Russia - Ufa,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x8fa5ddd02d3cd147bc8c2d728cadb9cc,+7 (347) 246-54-74,td_lkm@mail.ru,www.deol-zavod.ru,,,,,,,,,
66,EAST FACILITY (JIANGSU) CO.,China - Changzhou,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xae1e4e5081f21749bb1f70623a961fa2,0086-519-88616390,denver@efflooring.com,www.efflooring.com,,,,,,,,,
67,ECO-GROUP,Russia - Tavda,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x8162bd396bc9787911ee3b768a2d0fe4,+7(343)287-71-14,bad@egroupfk.ru,tavda.ru,tavda.ru,,,,,,,,
68,ECOLUX,Russia - Novosibirsk,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xf787e5bf7d4f6a4686c156f92543e8ad,+7952-904-50-40,sale@e-lux.group,www.e-lux.group/,,,,,,https://t.me/eluxsvet,,,
69,EHLASTOMERIK SISTEMS,,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xb39285c860708a4e95df2a1247b2a7dd,,,,,,,,,,,,
70,EIRICH,Germany - Hardheim,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x82b44f321e36a047a60fa2f93de6f9bf,+49 (0) 6283 51-0,eirich@eirich.de,www.eirich.com,,https://de.linkedin.com/company/maschinenfabrik-gustav-eirich-gmbh-&-co-kg,,https://www.facebook.com/eirich.de,https://www.youtube.com/user/EirichGroup,,,,
71,ELEMATIC,Finland - Akaa,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x768734b5c4addf4a8205cd227179ea25,+358 3 549 511,mikhail.zhuravlev@elematic.com,www.elematic.com,https://www.instagram.com/elematic.precast/,https://www.linkedin.com/company/elematic-oy/posts/?feedView=all&viewAsMember=true,,https://www.facebook.com/elematiceurasia,https://www.youtube.com/user/ElematicGroup,,,https://twitter.com/Elematic,
72,EMIRATES PANEL MANUFACTURE,United Arab Emirates - Umm Al Quwain,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xe63dcf5735881648a8c84c4c195fab0a,+971567529999,info@epm.biz,www.epm.biz,https://www.instagram.com/emiratespanelm,,+971567529999,https://www.facebook.com/EmiratesPanelManufacture,,+971567529999,,,
73,ENGINEERING SERVICES,Kazakhstan - Astana,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x815fd72d4048f5ef11ee213cab6832f6,+7 776 777 17 61,info@eng-services.kz,eng-services.kz,https://www.instagram.com/engineering_services_too,,,,,,,,
74,ENGNOVA GROUP,Russia - Lipetsk,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x8162bd396bc9787911ee3c3254565755,+7-920-244-43-07,engnovagroup@yandex.ru,engnovagroup.com,,,,,,,,,
75,ERMAK MACHINE,Turkey - Kocaeli,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x2c510286ff65f5449c2749428fcde77f,(+90 262) 263 02 70-71,ermak@ermakmakine.com.tr,www.ermakmakine.com.tr,,ERMAK CONCRETE AND CONSTRUCTION MACHINERY,+90 530 699 07 76,https://www.facebook.com/ermak.beton,https://www.youtube.com/@ermakbeton/videos,,,,
76,EUROMECC,Italy - Misterbianco,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x2f9b22fc5f436648936d1f5ac928e7ed,+39 095 7130011,sales@euromecc.com,www.euromecc.com,https://www.instagram.com/euromecc_italy/,https://www.linkedin.com/company/5020003,,https://www.facebook.com/euromecc.italy,https://www.youtube.com/c/euromeccsrl,,,,
77,EUROSOFF,Russia - Kaliningrad,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xddc7a37009090f4eae1304b2250a5060,+7-906-238-79-28,info@soffito.net,soffito.net,https://instagram.com/soffito_potolki?igshid=YmMyMTA2M2Y=,,+7-906-237-55-80,,,,VK: https://m.vk.com/potolok_soffito,,+7-906-237-55-80
78,EXLUSIVE GROUP,Kazakhstan - Shymkent,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x59e19ce66ab95d448c460bddd4bc812b,87018371060,Umid230885@mail.ru,,exclusive_ceramo_shymkent,-,87475147777,-,-,87018371060,VK: -,-,-
79,EXPORT SUPPORT CENTER OF NOVOSIBIRSK REGION,Russia,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xebbd62347fb33b409b125dd07fb0f04b,,,,,,,,,,,,
80,EXPORT SUPPORT CENTER OF SAINT-PETERSBURG,Russia - -,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x1c939dfbcc3b72429d3a2dafa299f4bb,-,-,-,-,-,-,-,-,-,VK: -,-,-
81,EXPORT SUPPORT CENTER OF THE CHUVASH REPUBLIC,Russia,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x347ca126b483c947bbcf4c3ddbd2dc57,,,,,,,,,,,,
82,EXPORT SUPPORT CENTER OF THE VOLGOGRAD REGION,Russia - Volgograd,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xbb4c8e3c8340294895cee40a2f12cd56,+7 (8442) 32 00 03,export34@bk.ru,export34.ru,,,,,,https://t.me/export_34,VK: https://vk.com/export_vlg,,
83,EXPORT SUPPORT CENTER OF THE VORONEZH REGION,Russia,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xaf1f481e1157a84ebbaeb959cfb2ec06,,,,,,,,,,,,
84,EXPORT SUPPORT CENTRE OF VLADIMIR REGION,Russia - Vladimir,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xb892df4adf3411488ad25259101e4504,"+7 (904) 653 86 97, +7 (4922) 222598",info@export33.ru,export33.ru,,,,,,,VK: https://vk.com/club145994743,,
85,FANERNYI KOMBINAT,Russia - Voronezh,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x8162bd396bc9787911ee3da499852457,,,,,,,,,,,,
86,FANERNYI ZAVOD,Russia - Voronezh,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x8162bd396bc9787911ee3da499852458,,,,,,,,,,,,
87,FARBEN-EXPORT,Russia - Voronezh,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x8162bd396bc9787911ee3da499852455,,,,,,,,,,,,
88,FASTENGROUP,Russia - Moscow,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x86e478d8c6ba5446bc585363ace0ad0f,+7 (495) 161 6768,msk@profdubel.ru,www.fastengroup.ru,,,,,,,,,
89,FIXPISTOLS,Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x8162bd396bc9787911ee422509fb900c,87478803820,fixpistols.kz@gmail.com,fixa.kz,fixpistols.kz,,87478803820,,@FIXPISTOLS,@fixa.kz,,,
90,FOLSEN,Latvia - Marupe,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xfc63257d42c4a14fb2f7c55776b46903,29492298,jekaterina.malceva@polipaks.com,www.folsen.eu; www.folsen.ru,,https://www.linkedin.com/company/96408962/admin/,,https://www.facebook.com/multipacksia,,,,,
91,FORES,Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x1255ed3d9eb0314c88824505e1a3eb9d,+7-727-341-04-44,info@fores.kz,fores.kz,,,,,,,,,
92,FORMASTONE,Russia - Kaliningrad,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x815fd72d4048f5ef11ee21fc385fe58f,+74012615127,vnv@formastone.ru,www.formastone.ru,,,,,https://www.youtube.com/channel/UCDFjyg078_-RGBRc_YUmM2w,,VK: https://vk.com/public201172518,,
93,FRANC GARDINER RUSSIA,"Russia - Murino production zone, urban settlement Murinsky, Leningrad region",https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xba4000f0bb1aab459bd6b01892c4cabc,+7 812 7027234  +7 800 7070046,info@francgardiner.ru,francgardiner.ru,https://instagram.com/francgardiner?igshid=NTc4MTIwNjQ2YQ==,,+79312971104,,https://www.youtube.com/@francgardiner4262?app=desktop,,VK: https://vk.com/francgardiner_rollerblinds,,
94,FREE STYLE LLP,Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x47291329f3d879469bd892a3b697a202,+7 727 312 24 55,info@free-style.kz,www.free-style.kz,@for_walls,,,,,,,,
95,FRONTSIDE,Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x572cc2c603935c41813659091df03068,"+7 (701) 800-57-50, +7 (701) 800-77-20",info@frontside.kz,www.frontside.ru,,,,,https://youtube.com/@frontside4809,,,,
96,FUJIAN JOBORN MACHINERY  CO.,"China - Nanan City, Fujian Province",https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x4477935f636ac944aaef970034de845f,+86-595-26569898,admin@joborn.com,www.joborn.com,,,+86-15880960665,https://www.facebook.com/kebin.huang.982?mibextid=LQQJ4d,,,,,
97,BMWK,Germany - Berlin,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x8162bd396bc9787911ee3b62271d05fd,+ 49-30-2839390,info@iecberlin.de,www.kazbuild.german-pavilion.com,,,,,,,,,
98,COMET GRANITO PVT LTD,India - Morbi,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x6be20d3fe16d4b41837ccb9d1ca28bad,00919825215815,export3@granicer.in,www.granicer.in,https://www.instagram.com/p/Cj4bE7TKpdr/,https://www.linkedin.com/company/granicerceramica/?originalSubdomain=in,+919033474504,https://www.facebook.com/GranicerCeramicaIndiana/,,,,,
99,EGIDA,Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x12e4bce96da431438783883af08f638a,+7 727 313 10 18,info@egida.kz,egida.kz,#egidagroupkz,,+7 708 181 0185,,egidagroupkz,,,,
100,GAC GROUP LLC,"Russia - urban setttlement Dubrovka, Vsevolozhsky district, Leningrad region",https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x0490f9889bdf614da00564b4c382ac66,+7 812 3372273,online.store@dspnd.ru,quickdeck.pro,https://www.instagram.com/quick_deck/,,,,https://www.youtube.com/channel/UCFWcYt0gDsr6HLzFmDUDVUw,,VK: https://vk.com/quickdeck,,
101,GALAKSI GROUP,Kazakhstan - Алматы,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x8162bd396bc9787911ee3b70f3b3b38c,+77272211111,info@galaksi.nl,galaksi.nl,galaksi_group,,,,galaksi_group,,,,
