id,Title,Country-City,url,Phone,Email,Website,Instagram,Facebook,Telegram,WhatsApp,Viber,Linkedin,YouTube,Twitter,Vkontakte
56,"EXDEL, LLP",Kazakhstan - Aktau,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xdc4728f96aa61d40b70dec4c9f18a37c,+7 7292 544-500,info@exdel.kz,www.exdel.kz,https://www.instagram.com/exdel_kz/,https://www.facebook.com/exdel.kz,,+77712217921,,https://www.linkedin.com/company/42681279/admin/feed/posts/,https://www.youtube.com/@bereketshamov7147,,
57,FESCO,Russia - Moscow,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x38059db6ad02da439ccf892b2d5ece0b,+7(901)7695980,fesco@fesco.com,www.fesco.ru,,,https://t.me/tg_fesco,,,,,,VK: https://vk.com/tgfesco
58,FINNHUB FINLAND,Finland - Kotka,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xb868ac0821b61146ab652661c76dac25,+358400866534,info@finnhub.fi,www.finnhub.fi,finnhub_ry,Finnhub,,,,Finnhub ry,,@finnhub_ry,
59,"FIRST DRY PORT TERMINAL, LLC",Uzbekistan - Tashkent,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xcd9f89094c1b26468f24374cb13ef5a4,+998712032322,container@fdp.team,www.fdp.team,,,,,,,,,
60,"FIRST MULTIMODAL COMPANY, LLP",Kazakhstan - Astana,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x056ac28a97944c4db1ecbe23775dac20,+997 7 7172 611 630,info@1mc.kz,www.1mc.kz,,,,,,,,,
61,"FM LOGISTIC, LLP",Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x540855ad269fd74e8a86227e3f2515c1,+7 (727) 325-77-67,ybelousov@fmlogistic.com,www.fmlogistic.com,,,,,,,,,
62,FREEPORT OF RIGA,Latvia - Riga,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xcc630b3d8ed235468ade55131ab67161,+371 67030800,info@rop.lv,www.rop.lv,,,,,,,,,
63,FREEPORT OF VENTSPILS,Latvia - Ventspils,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xb296ee15e7b6b441b8a0fcafcd0e84c3,+371 636 22586,marketing@portofventspils.lv,www.portofventspils.lv,,,,,,,,,
64,"FREIGHT ONE, JSC",Russia - Moscow,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xb96e2e20c3cca642a4976f60ea203f3d,8-800-775-16-16,office@pgk.ru,www.pgk.ru,,,,,,https://ru.linkedin.com/company/pgkcom,https://www.youtube.com/channel/UCKl5laYgTAxEyN_qUgs0UzA,,VK: https://vk.com/pgk_ru
65,"GARANT RM, LLC",Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xfc422761a44e854e90f5e6d5c63c3783,+7-727-313-15-07,info@garant-rm.kz,www.project7311935.tilda.ws,,,,+7-771-747-10-91,,,,,
66,GEVARA UAB,Lithuania - Vilnius,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x45a28e6365b65442927fac111c81f4d0,+37068888688,hello@gevara.lt,www.gevara.lt,@gevara_ltd,https://www.facebook.com/gevaratransport/,,,,https://www.linkedin.com/company/gevara-transport-logistics/,https://www.youtube.com/channel/UCJCWZeoACjqQQ4OSIyE7VQQ,,
67,"GLOBAL BRIDGE, LLP",Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x2a118efbcb306d49b5ccc043a001e500,8 (705) 148 5187,z.satbayeva@gb.com.kz,www.globalbridge.kz,globalbridge.kz,,,8 705 148 51 87,,,,,
68,"GLOBAL LINK LOGISTICS.,LTD",China - ShenZhen,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x144b1a433197fe4a976672b95cf54806,+86 755 82147490,Jary@globallink.cn,www.globallink.cn,,,,,,,,,
69,GLOBALINK LOGISTICS,Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x2333e8a20e9c8641baa2c50962580d97,+77272588880,sales@globalinklogistics.com,www.globalinklogistics.com,https://www.instagram.com/globalinklogistics/,https://www.facebook.com/GlobalinkLogistics,,+7 771 191 7798,,https://www.linkedin.com/company/globalink/,https://www.youtube.com/channel/UCf9BQMacGEPbZMGiDiJgpUA,,
70,GLS TRANSPORT,Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x060b92825e929e4eb762ab9a467cfbc7,+77761038555,info@glstransport.kz,www.glstransport.kz,gls_transport,,+77761038555,+77761038555,,,,,
71,GOFORWARD LTD,Estonia - Tallinn,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x7324a73a5c3e8f45a6eff7b46042cec3,+37256238844,goforward@go.ee,www.goforward.ee,,,,,,,,,
72,GOMEL CARRIAGE WORKS CJSC,Belarus - Gomel,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x361069beeceff7499475f53fca8592f4,+375232337032,omom2008@mail.ru,www.vsz.gomel.by,,,,,,,,,
73,"GPL KAZAKHSTAN, LLP",Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x92c30c7fde99494381974382ed3b5f63,+7 (727) 972-36-16,sales@gpl.kz,www.gpl.kz,@gpl_kazakhstan,https://www.facebook.com/profile.php?id=100078027083822&mibextid=LQQJ4d,+77717651966,+77717651966,,https://www.linkedin.com/company/gpl-kazakhstan/,,,
74,"GRADALOGISTIC, FOREIGN TRANSPORT UNITARY ENTERPRISE",Belarus - Minsk,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x04eb5ca8848f8d47b017bde0e9d8dd6d,8(017)306-08-22,office@gradalogistic.by,www.gradalogistic.by,,,,,,,,,
75,"GREENLIGHTS, LLP",Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x5cc73010b4e23d42b8d68cfb3920f97c,+77018748886,fin@greenlights.kz,www.greenlights.kz,@greenlights.kz,@greenlights.kz,,+77018748886,,LLP Greenlights,,,
76,GURKAN NAKLIYAT,Turkey - Kocaeli,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x6af16ab89dd30849a274331d43a41427,+90 262 724 90 11,gurkan@gurkannakliyat.com.tr,www.gurkannakliyat.com.tr,,,,,,,,,
77,"HAZAR YOL, IE",Turkmenistan - Ashgabat,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x57ce28a22658f441a61cdc1501fb7fa7,+99312754516,info@hazaryol.tm,www.hazaryol.tm,,,,,,,,,
78,HEGELMANN GROUP,Lithuania - Kaunas,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x9250a064f112a649a0f5edd3df7d8548,"+37037788600, +37068119677",info.lt@hegelmann.com,www.hegelmann.com,https://www.instagram.com/hegelmann.lithuania/,https://www.facebook.com/HegelmannGroup,,+37068119677,+37068119677,https://www.linkedin.com/company/hegelmanngroup,https://www.youtube.com/c/HegelmannGroupTV/videos,,
79,HHLA PROJECT LOGISTICS KAZAKHSTAN,Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x980474ea9898b84d9faacb54cc50f5c8,+77051131372 / +77767418492,vincent.hascoet@hhla.ge / Daulet.kakim@hhla.kz,www.hhla.de,,,,,,,,,
80,HHLA TK ESTONIA AS,Estonia - Tallinn,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xb03b61340403c24bbafe72b46c269509,+372 6319205,tk@hhla-tk.ee,www.hhla-tk.ee,,,,,,,,,
81,I1 CONSULTING,Kazakhstan - Astana,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xf8be696fa8681a4eb50322a3197c3975,+7-(708)-113-21-02,info@i1cons.com,www.i1.consulting,,,,,,https://www.linkedin.com/company/i1-consulting/,https://www.youtube.com/@ITVectura,,
82,"IFC COLOS, LLP",Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xbc6d17c4bd50c5469bb492ad0de905dd,+7 (727) 331 18 18,info@colos.kz,www.colos.kz,,,,,,,,,
83,"INFINITY GROUP SERVICE, LLP",Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x552637ca0d1666469eeefd9bb026927d,+7 705 489 99 98,gm@infinityinc.ru,www.infinityinc.net,,,,,,,,,
84,"INTERRAIL KAZAKHSTAN, LLP",Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x2afceefa4ca64740ad5dc0b5da9fc6ad,+7 701 948 00 58,"vitalina.bakbergenova@interrail.kz, Adilbek.Menjanov@interrail.kz, Bekzat.Madiyarova@interrail.kz",www.interrail.ag,,,,+7 701 948 00 58,,,,,
85,ISCO LOGISTICS,Kyrgyzstan - Bishkek,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xb71f3efb4986e942922dff2aef43ec1a,+996559330009,iscokg@inbox.ru,,isco.logistics,isco.logistics,http://isco-logistics.com/,+996 505156 000. +996 558 156 000.,нет,http://isco-logistics.com/,https://www.youtube.com/watch?v=pJZkhEDNzk4&t=34s,нет,VK: нет
86,"JET LOGISTIC, LLP",Kazakhstan - Astana,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x9cfce3959415a84d96229fe8c869ab46,+7 775 007 4212,info@jetlogistic.kz,www.jet.com.kz,https://www.instagram.com/jet.logistic/,https://www.facebook.com/jetlogistic.kz,,+77057077780,,,,,
87,"JIANGSU UNI-BENEFIT INT’L LOGISTICS CO., LTD",China - Lianyungang,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xc26f4dcbec2e7b41b4daf688f4c2621a,+86-518-82318296,lijing@jstywl.com,www.jstywl.com,,,,,,,,,
88,"JUST SUPPLY CHAIN SERVICE (SHENZHEN) CO.,LTD",China - Shenzhen,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x119bedce9afd61408eb0d497d5380a9a,+86-0755-85264606,sales04@justsupply.com.cn,www.justsupply.com.cn,,,,,,,,,
89,KAYRA LOGISTIK VE DIS TICARET,Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x0dfdb14c2da6784ca9a6679ad826f191,+77025724701,"kayra@kayralojistik.com, firuza@kayralojistik.com",www.kayralojistik.com,kayralojistik,,,+7025724701,,https://www.linkedin.com/in/ruhan-ekin-kayra-logistics-81668a169,,,
90,"KAZAERONAVIGATSIA, RSE",Kazakhstan - Astana,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x27758fc4ab6dea40a732d18498308f1e,+7 (7172) 70-42-76,office@ans.kz,www.ans.kz,,,,,,,,,
91,KAZAKHSTAN ASSOCIATION OF CARRIERS AND ОPERATORS OF WAGONS (CONTAINERS) (KAZACO),Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x3e3bc8b2f80f1541acec7029c2a9a7a9,"+7 727 2610138, +7 727 2610295",kazapo_2004@inbox.ru,www.kazapo.kz,-,-,-,-,-,-,-,-,VK: -
92,KAZLOGISTIC SOLUTIONS LLP,Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x7abc2f3db0dd7749aa345e172fa87812,+7 (727) 3566868,info@forwarder.kz,www.cls-international.com,cls_international_group,CLS International,,,,CLS International,,,
93,"KAZMORTRANFLOT NMSC, LLP",Kazakhstan - Aktau,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x3eaf8693439ddd41b3e9f11b1e245f61,+7 7292 535 908,info@kmtf.kmg.kz; cd@kmtf.kmg.kz,www.kmtf.kz,kazmortransflot,,,,,,,,
