id,Title,Country-City,url,Phone,Email,Website,Instagram,Facebook,YouTube,WhatsApp,Telegram,Linkedin,Vkontakte,Twitter,Viber
21,"ANTO MINING EQUIPMENT CO.,LTD.","Китай - Tai'an City, Shandong Province,China",https://reg.iteca.kz/list/detailsfull.aspx?link=0x266fb0c772846f4daa5d4f32f462c199,+8617753832266,rockbolt@antobolts.com,www.antobolts.com,,https://www.facebook.com/profile.php?id=100083157647348,https://www.youtube.com/watch?v=BAu5N4wWR60,,,https://www.linkedin.cn/incareer/in/ACoAADb8rvgBSeTwWSxfJfUjEDhZp8GIgBuiNSQ,,,
22,ARAMINE,Франция - Aix-en-Provence,https://reg.iteca.kz/list/detailsfull.aspx?link=0xebcdd7c240d42c49a7e00962f74d31a7,+33 (0) 442 53 53 00,info@aramine.com,www.aramine.com,https://www.instagram.com/araminegroup/?hl=fr,https://www.facebook.com/AramineFrance,https://www.youtube.com/channel/UCyv2rIVLwdVB0L70LqLaKOA,,,https://www.linkedin.com/company/aramine/,,,
23,ASTANA MINING & METALLURGY КОНГРЕСС,Казахстан - Астана,https://reg.iteca.kz/list/detailsfull.aspx?link=0x8162bd396bc9787911ee3fdb4783310c,+7 727 258 34 34,Assel.Delmanova@iteca.events,www.amm.kz,,,,,,,,,
24,ASTANA MINING MACHINERY ТОО,Казахстан - Астана,https://reg.iteca.kz/list/detailsfull.aspx?link=0x8157a21980bd259d11eda8f509d18f03,+7 700 210 08 88,amm@mash-hold.kz,www.mash-hold.kz,,,,8 700 210 08 88,,,,,
25,ASTECH ГЛОБАЛЬНАЯ МАШИНА,"Турция - ANKARA, SARAY MAH.",https://reg.iteca.kz/list/detailsfull.aspx?link=0x15cf6308b068784fb73a4ca188d2b5dd,+95464375597,info@astechmakina.com,www.astechmakina.com,https://www.instagram.com/astech_global/,https://www.facebook.com/profile.php?id=100065686921341,,+905464375597,,https://www.linkedin.com/company/83011373/admin/feed/posts/,,,
26,ATLANT ANKER SYSTEM TOO,Казахстан - Алматы,https://reg.iteca.kz/list/detailsfull.aspx?link=0x815e8f4ac426f3de11ee1734d784575f,+7 727 317 17 05,info@anker-system.kz,www.anker-system.kz,,,,,,,,,
27,AUMUND ФЁРДЕРТЕХНИК ГМБХ,Германия - Rheinberg,https://reg.iteca.kz/list/detailsfull.aspx?link=0xb571745eb8eb014da457c3999e1f8778,+492843720,minerals@aumund.de,www.aumund.com,,,https://www.youtube.com/channel/UCjhfo5qEiQyl_i15F6AHz2g,,,https://www.linkedin.com/company/aumund-group/,,,
28,IG ГЛОБАЛ,Казахстан - Астана,https://reg.iteca.kz/list/detailsfull.aspx?link=0x8160e9aa7a0cc79311ee34d7f6220165,+7 701 233 95 51,tzhebak@igglobalgroup.com,www.igglobalgroup.com,,,,,,,,,
29,I-GEO KAZAKHSTAN,Казахстан - Караганда,https://reg.iteca.kz/list/detailsfull.aspx?link=0x8160e9aa7a0cc79311ee327b56b4a8d2,+7 702 125 30 88,igeo.Kazakhstan@gmail.com,www.i-geo.kz,,,,+77021253088,,,,,
30,"IQ MINING (АЙКЬЮ МАЙНИНГ), ТОО",Казахстан - Алматы,https://reg.iteca.kz/list/detailsfull.aspx?link=0x8161cef8ebd4913f11ee351c63617151,+7 702 400 88 40,a.samoilov@iqmining.kz,,https://www.instagram.com/iq_mining_kz,,,+77024008840,,,,,
31,АЙРИХ,Германия - Хардхайм,https://reg.iteca.kz/list/detailsfull.aspx?link=0x28e73e35a54549458f68b9120f08857c,+49 6283 51 0,amagasu.akihiko@nippon-eirich.co.jp,www.nippon-eirich.co.jp/english,,,https://www.youtube.com/@-nipponeirich6488,,,https://jp.linkedin.com/company/nippon-eirich,,,
32,"АКВАЛИТ ПРОИЗВОДСТВЕННАЯ КОМПАНИЯ, ООО",Беларусь - Минск,https://reg.iteca.kz/list/detailsfull.aspx?link=0x81597aeea421bb3d11edc0183f4ab409,+375 17 396 06 84,info@akvalit.by,www.akvalit.by,https://www.instagram.com/akvalitby/,,,+7 777 738 6105,,,,,
33,АКФ ПАРК ИННОВАЦИОННЫХ ТЕХНОЛОГИЙ,Казахстан - Алматы,https://reg.iteca.kz/list/detailsfull.aspx?link=0xe5bf146298109149b314d71fbf9865c7,+7 702 209 08 49,info@techgarden.kz,www.en.techgarden.kz,https://www.instagram.com/techgarden/,https://www.facebook.com/kztechgarden,https://www.youtube.com/channel/UCexUnGw3-wV00pFAgyLh4Aw,,https://t.me/techgardenalmaty,https://www.linkedin.com/company/techgardenkz,,,
34,АМСИ ТЕХНО ТОО,Казахстан - Караганда,https://reg.iteca.kz/list/detailsfull.aspx?link=0x81597aeea421bb3d11edc0dcc8b4d3a6,+7 776 249 55 84,info@amsitehno.kz,www.amsitehno.kz,amsi_tehno_kz,,,,,,,,
35,"АРТВИК ЦЕНТРАЛЬНАЯ АЗИЯ, ТОО",Казахстан - Алматы,https://reg.iteca.kz/list/detailsfull.aspx?link=0x815e8f4ac426f3de11ee1fa2327bcf7e,+7 727 310 98 98,artvik-ca@artvik.com,www.artvik.com,,,,,,,,,
36,АС-АЙ ЛТД,Казахстан - Алматы,https://reg.iteca.kz/list/detailsfull.aspx?link=0x81597aeea421bb3d11edc0183f4ab40a,+7 775 007 09 30,sales@asay.kz; support@asay.kz,www.asay.kz,@asay.kz,@asay.kz,https://www.youtube.com/@asay,+77017239934,,,,,
37,B&E ANTEC NACHRICHTENTECHNIK GMBH,Германия - Нюрнберг,https://reg.iteca.kz/list/detailsfull.aspx?link=0x2de369ba37b9cd4d8c99366b2a2f1df2,+49(0)91146269-0,info@be-antec.de,www.be-antec.de/en,,,,,,,,,
38,BAUFLEX-ENGINEERING ТОО,Казахстан - Алматы,https://reg.iteca.kz/list/detailsfull.aspx?link=0x8160e9aa7a0cc79311ee3149f65f025e,+7 701 378 75 27,info@bauflex-engineering.kz,wwww.bauflex-engineering.kz,,,,+7 701 378 75 27,,www.linkedin.com/company/bauflex-engineering,,,
39,"BEIJING HONEST TECHNOLOGY CO., LTD",Китай - BEIJING,https://reg.iteca.kz/list/detailsfull.aspx?link=0x84ac6a6ef4d4cc4695c30006ef7c9943,+86 13521651122,duanjunjun@xndt.com.cn,www.en.xndt.com.cn,,@BeijingHonestTech,@honestbeijing9198,+86 18811711132,,,,@beijinghonest,
40,"BEIJING SCREEN TECHNOLOGY CO., LTD",Китай - BEIJING,https://reg.iteca.kz/list/detailsfull.aspx?link=0xe365d865a9147744b6723196eba4b8f1,+86-10-82610633,+86-10-82613002,www.bjscreens.com,,,,,,,,,
41,BELKA AI,Казахстан - Алматы,https://reg.iteca.kz/list/detailsfull.aspx?link=0x28f63c75f46bf8418a6d18dc05933378,+7 701 777 95 18,adil.talipov@gmail.com,www.belka.ai,,,,,,,,,
42,"BEST DRILLING EQUIPMENT (WUXI) CO.,LTD",Китай - WUXI,https://reg.iteca.kz/list/detailsfull.aspx?link=0x93b0784519f119409693aefe3e099efc,+86-13814043241,tracy@cnbestdrilling.com,www.cnbestdrilling.com,,,,,,,,,
43,"BOYO ENGINEERING MACHINERY CO.,LTD",Китай - Changsha,https://reg.iteca.kz/list/detailsfull.aspx?link=0xd6f1958356a0a44c8194d43515c35c58,+8618673194288,alison@maxmech.com.cn,www.cnmaxmech.com,,,,,,,,,
44,BSG TECHNOLOGY ТОО,Казахстан - Алматы,https://reg.iteca.kz/list/detailsfull.aspx?link=0x814cd02cd1f8387811ed5c337948f3de,"7 727 2458834, 2458836, 2458837",info@bsg-t.kz,www.bsg-t.kz,,,,,,,,,
45,БАУЭР КОМПРЕССОРЕН ГМБХ,Казахстан - Астана,https://reg.iteca.kz/list/detailsfull.aspx?link=0x815e8f4ac426f3de11ee1734d7845760,+7 7172 73 97 50 ext. 372,a.selkhanov@bauer-kompressoren.de,www.bauer-kompressoren.de/ru,https://www.instagram.com/bauer_kompressoren/,https://www.facebook.com/BAUER.KOMPRESSOREN.GmbH/,https://www.youtube.com/user/bauerkompressoren,,,https://de.linkedin.com/company/bauer-kompressoren-gmbh,,,
46,БЕККЕР МАЙИНИНГ СИСТЕМС АГ,Германия - Саарбрюккен,https://reg.iteca.kz/list/detailsfull.aspx?link=0xf4a58c2bdaae2d43ac8b693a05ff44d4,+49 6897 857 - 0,info@becker-mining.com,www.becker-mining.com,https://www.instagram.com/beckermining/?hl=en,https://www.facebook.com/BeckerMiningSystems/,https://www.youtube.com/channel/UCCx4bEvDRSTLag9xyvgcuxw,,,https://www.linkedin.com/company/becker-mining-systems,ВКонтакте: https://vk.com/beckerrussia,,
47,"БЕЛКАЗКОМПЛЕКТСЕРВИС, ТОО",Казахстан - Алматы,https://reg.iteca.kz/list/detailsfull.aspx?link=0x814cd02cd1f8387811ed4f69f3a45401,+7 727 264 15 58,info@bkksgroup.kz,www.bkksgroup.com,,,,,,,,,
48,БИГУДЭН ТОО,Казахстан - Алматы,https://reg.iteca.kz/list/detailsfull.aspx?link=0x6d4bf21cf4f61e4eb7033edde77ba896,+7 705 849 77 78,office@bgdn.kz,,https://www.instagram.com/bigouden_kz/,,https://www.youtube.com/@bigoudenltd396,https://wa.me/message/XXGCOJ2ASPFAB1,,https://www.linkedin.com/company/bgdn-central-asia/,,,
49,БЛЮМАК ЦЕНТРАЛЬНАЯ АЗИЯ,Казахстан - Алматы,https://reg.iteca.kz/list/detailsfull.aspx?link=0x814cd02cd1f8387811ed4ac6e2d844d3,+7 727 245 89 66,blumaqca@blumaq.com,www.blumaq.com,https://www.instagram.com/blumaq/,https://www.facebook.com/blumaq/,,+77057788007,,https://www.linkedin.com/company/blumaq-s-a-,,,
50,БОНЕНКАМП,Казахстан,https://reg.iteca.kz/list/detailsfull.aspx?link=0x8157a21980bd259d11eda8f509d18f04,"7 727 232-86-73, +7 777 355 32 86",Ivan.KRYLOV@bohnenkamp.kz; info@bohnenkamp.kz,www.bohnenkamp.kz,,,,,,,,,
51,БРАДКЕН,Казахстан - Almaty,https://reg.iteca.kz/list/detailsfull.aspx?link=0x2ad91a7fd80ad74ebea6c2bd9df714a7,+7 727 259 9171,https://bradken.com/contact,www.bradken.com,https://www.instagram.com/bradkenofficial/,https://www.facebook.com/bradkenofficial,https://www.youtube.com/channel/bradkenofficial,,,https://www.linkedin.com/company/bradkenofficial/,,,
52,VALMET,Финляндия - Lappeenranta,https://reg.iteca.kz/list/detailsfull.aspx?link=0xf0047455523a6a41b75bcca6ef8ea0d9,+358400976899,flowcontrol.info@valmet.com,www.valmet.com/flowcontrol,,,,,,,,,
53,VENTILATORENFABRIK OELDE GMBH,Германия - Oelde,https://reg.iteca.kz/list/detailsfull.aspx?link=0x47253acf06d5474d854da965d931d23f,+49 2522 75-0,info@venti-oelde.de,www.venti-oelde.com,,,,,,,,,
54,VOLVO,Швеция,https://reg.iteca.kz/list/detailsfull.aspx?link=0x8162bd396bc9787911ee462413733d00,,,,,,,,,,,,
55,VORTEX ICC TOO,Казахстан - Алматы,https://reg.iteca.kz/list/detailsfull.aspx?link=0x81597aeea421bb3d11edc0183f4ab408,+7 727 357 32 10,rk@iccvortex.kz,www.iccvortex.kz,iccvortex.kz,iccvortex.kz,,+7 701 301 76 20,,,,,
56,WEIR MINERALS KAZAKHSTAN LLP,Казахстан - Алматы,https://reg.iteca.kz/list/detailsfull.aspx?link=0x8161cef8ebd4913f11ee351c63617150,+7 701 026 1156,kazakhstan.minerals@mail.weir,www.global.weir,,,,,,,,,
57,WEIR MOTION METRICS,Канада - Vancouver,https://reg.iteca.kz/list/detailsfull.aspx?link=0x42d265dd5471a14992f2f8a7e6f19c49,+1 604-822-5842,sales@motionmetrics.com,www.motionmetrics.com,https://www.instagram.com/motionmetrics/,https://www.facebook.com/motionmetrics,https://www.youtube.com/@motionmetrics,,,https://www.linkedin.com/company/motionmetrics/mycompany/,,https://twitter.com/motionmetrics,
58,"WUXI XINZUAN GEOLOGICAL EQUIPMENT CO.,LTD.",Китай - WUXI,https://reg.iteca.kz/list/detailsfull.aspx?link=0x838f6f578f88d344b80b6e4c08a7f087,+8618001647831,dana_shengmeirun@smrxz.com,www.smrxz.com,,,,,,,,,
59,ВЕРМЕЕР ЦЕНТРАЛЬНАЯ АЗИЯ,Объединенные Арабские Эмираты - Дубай,https://reg.iteca.kz/list/detailsfull.aspx?link=0x4d0c3fedda663a4d8e797c58a90fe3d6,+971561704202,info@vermeercentralasia.com,www.vermeercentralasia.com,,,,+971561704202,,,,,
60,ВИКТОРИЯ ФОРТРЕСС АЛМАТЫ,Казахстан - Алматы,https://reg.iteca.kz/list/detailsfull.aspx?link=0x815e8f4ac426f3de11ee1edb3e8e8bec,+7 701 796 88 55,almaty@vf-chem.com,www.vf-chem.com,,,,+7 701 796 88 55,,,,,
61,ВОСТОК КОМПАНИЯ ИЗМЕРИТЕЛЬНЫХ И КОНТРОЛЬНЫХ ТЕХНОЛОГИЙ ОАО,Китай - DANDONG,https://reg.iteca.kz/list/detailsfull.aspx?link=0xe53ad42dda2d89419e075c127327d3c7,0086-415-3862252,intersales@dfmc.cc,www.ru.dfmc.cc,,,,,,,,,
62,ВОСТОЧНАЯ БУРОВАЯ КОМПАНИЯ ТОО,Казахстан - Алматы,https://reg.iteca.kz/list/detailsfull.aspx?link=0x81597aeea421bb3d11edc0183f4ab40c,+7 776 795 65 73,ishmatov@vbur.ru,www.vbur.ru,@vbur.ru,@vbur.ru,,,,https://www.linkedin.com/company/vbur,,,
63,GEOSERVICEKZ ТОО,Казахстан - Алматы,https://reg.iteca.kz/list/detailsfull.aspx?link=0x815e8f4ac426f3de11ee14a0cfb7d170,+7 701 309 5937,geoservicekz@inbox.ru,www.geoservicekz.kz,yerbolu1975,Yerbol Utessinov,,+77017343663,+77017343663,,,,
64,GEOTEC WUXI,"Китай - Wuxi, Jiangsu",https://reg.iteca.kz/list/detailsfull.aspx?link=0x7d4bcdbbe3d14f4d9eb4e549b55092fb,"+86 510 88552380, +86 13914113416",sale01@geotecwuxi.com,www.geotec.com.cn,geotecwuxi1989,@WUXIGEOTEC,@geotecwuxi1989,+86 13914113416,+86 13914113416,geotec wuxi,,,
65,"GEOTEK, ТОО",Казахстан - Караганда,https://reg.iteca.kz/list/detailsfull.aspx?link=0x8160e9aa7a0cc79311ee2f8076a70702,8 7212 42 42 04,reception@appak.com,,,,,,,,,,
66,GESEM TOO,Казахстан - Алматы,https://reg.iteca.kz/list/detailsfull.aspx?link=0x81597aeea421bb3d11edc0dcc8b4d3a4,8 700 104 37 36,info@gesem.kz,www.gesem.kz,gesem.kz,Gesemkz,Gesemkz,https://wa.me/87001043736,,https://www.linkedin.com/company/gesem-kz,,,
67,GRP ГРУПП,Германия - Энтебрюк,https://reg.iteca.kz/list/detailsfull.aspx?link=0x4536440205654245930416586a9281ac,+492753508521,info@grp-mining.com,www.grp-mining.com,,,,,,,,,
68,"GUANGZHOU KOMAI FILTER CO., LTD",Китай - Guangzhou,https://reg.iteca.kz/list/detailsfull.aspx?link=0xe483228a4989e642bfccccbbcd940396,+86-20-32016955; 13760622233,398072056@qq.com,www.komaifilter.com,,,,,,,,,
69,ГЕКТОТИТАН ТОО,Казахстан - Астана,https://reg.iteca.kz/list/detailsfull.aspx?link=0x815e8f4ac426f3de11ee1a20d5d58e81,+7 775 159 13 84,info@titanagro.kz,www.hectotitan.com,hectotitan,,,+7 775 159-13-84,,,,,
70,ГЕОБРУГГ,Казахстан - Алматы,https://reg.iteca.kz/list/detailsfull.aspx?link=0xcab3f2ea2bfabf4f8a7cfbe79ff8470b,+7 702 732 44 00,info@geostein.kz,www.geostein.kz,geostein_kz,,,,,,,,
71,"ГЛЕС ГРУПП ИНЖИНИРИНГ, ООО","Россия - Ленинградская область, г. Кудрово",https://reg.iteca.kz/list/detailsfull.aspx?link=0x8160e9aa7a0cc79311ee3149f65f0252,"+7 812 667 82 72, 8 800 201 64 40",info@legend-air.ru,www.legend-air.ru,,,,,,,,,
72,"ГЛОБУС, ЖУРНАЛ",Россия - Красноярск,https://reg.iteca.kz/list/detailsfull.aspx?link=0x2651f6acfb340e498bc8e7d0cb05594b,+7 906 911 27 03,globus-j@mail.ru,www.vnedra.ru,,,,,t.me/globus_vnedra,,ВКонтакте: @vnedraglobus,,
73,ГОРМАШ ГЛОБАЛ ООО,Россия - Мытищи,https://reg.iteca.kz/list/detailsfull.aspx?link=0x8160e9aa7a0cc79311ee30274bf17cad,+7 495 664 53 13,info@rosgorprom.ru,,,,,89250469248,,,,,
74,ГОРНАЯ ПРОМЫШЛЕННОСТЬ ЖУРНАЛ,,https://reg.iteca.kz/list/detailsfull.aspx?link=0x40c886014ec674459215c121fb3bcf32,,,,,,,,,,,,
75,ГОРНЫЙ ЖУРНАЛ КАЗАХСТАНА,Казахстан - Алматы,https://reg.iteca.kz/list/detailsfull.aspx?link=0xea07280755b94347a2abecdbeb815649,+7 747 343 15 02,post-dts@yandex.kz,www.minmag.kz,@minmag.kz,,,+7 747 343 15 02,,,,,
76,ГОРТЕХМАШ-ЗАВОДЫ АО,Россия - Красноярск,https://reg.iteca.kz/list/detailsfull.aspx?link=0x815e8f4ac426f3de11ee1734d7845761,+7 391 255 47 74,info@gtm.ru,www.gtm.ru,,,,,,,,,
77,ГУАНЧЖОУ ЦЗИНЬ ХАЙСЕН ИНЖИНИРИНГ МАШИНОСТРОЕНИЕ И ОБОРУДОВАНИЕ ЛТД.,Китай - Guangzhou,https://reg.iteca.kz/list/detailsfull.aspx?link=0x55e5d42edc89be47bcf92da2ab91185b,+86-20-38602600; +8613434253009,1145286832@qq.com,www.jhs88.cn,,https://www.facebook.com/jun.ye.14418,,"+86 13434253009, +86 13360584550",,,,,
78,ГЭЙТУЭЙ ВЕНЧЕРС (СИ.ЭЙ.)  ЛТД ТОО,Казахстан - Алматы,https://reg.iteca.kz/list/detailsfull.aspx?link=0x8157a21980bd259d11eda8f509d18f17,+7 727 356 1000,Admin.Gateway@gvcal.com,,gateway.centralasia,https://www.facebook.com/gatewaycentalasiahttps://www.facebook.com/gatewaycentalasia,,+7 771 501 71 44,,https://www.linkedin.com/company/gatewayventures/?viewAsMember=true,,,
79,"DAE HWA ENGINEERING  SERVICE CO.,LTD",Южная Корея - ULSAN,https://reg.iteca.kz/list/detailsfull.aspx?link=0x2e076f486647d14a8ec8b5d0e618e781,+82-10-3588-8888,contact@daehwaeng.com,www.daehwaeng.com,,,,,,,,,
80,DAITAN,Казахстан - Астана,https://reg.iteca.kz/list/detailsfull.aspx?link=0x8162972d8511bb3911ee4d8a173c7588,+7 717 264 94 44,info@daitan.asia,www.daitan.asia,,,,,,,,,
81,"DALIAN FULLTON MACHINERY CO., LTD",Китай - DALIAN,https://reg.iteca.kz/list/detailsfull.aspx?link=0x270cc312433d774eae4e42479aacf1fe,+86-411-82767678/79,fullton@fulltontech.com,www.fulltontech.com,,,,,,,,,
82,DASF (ДАСФ) ТОО,Казахстан - Павлодар,https://reg.iteca.kz/list/detailsfull.aspx?link=0x718a2e47b5a2be4d832df4b4b97ca970,+77059036574,info@dasf.tech,dasf.tech,,,,+77059036574,,,,,
83,DATC EUROPE,Франция - Besancon,https://reg.iteca.kz/list/detailsfull.aspx?link=0xfde41c2619cdff46bb66ce5ed1db3368,0381410606,service.marketing@datc-group.com,www.datc-group.com,,,https://www.youtube.com/watch?v=wTvHVMg_KCw&t=8s,,,https://www.linkedin.com/company/group-datc/mycompany/?viewAsMember=true,,,
84,"DECA MINING, ТОО",Казахстан - Алматы,https://reg.iteca.kz/list/detailsfull.aspx?link=0x815e8f4ac426f3de11ee1edb3e8e8bef,+7 776 206 00 82,zhanatov@deca.kz,www.tapp-group.kz,,,@TAPPGroup,,,,,,
85,DELTA ROCK COMPANY OTOMOTIV YEDEK PARCA MAKINE INSAAT SANAYI VE TICARET LTD. STI.,Турция - Анкара,https://reg.iteca.kz/list/detailsfull.aspx?link=0xb3dc44ec1144a94d89f3a54608028b15,+90 544 798 17 04,sales@deltarockcompany.com,www.deltarockcompany.com,https://www.instagram.com/deltarockcompany/,https://www.facebook.com/profile.php?id=100046406577043,,+90 544 798 17 04,+90 544 798 17 04,https://www.linkedin.com/company/delta-rock-company/mycompany/,,,
86,DESWIK,Великобритания - Лондон,https://reg.iteca.kz/list/detailsfull.aspx?link=0xb254d878985471429caa9ba924014b31,+44 20 8049 4530,info.london@deswik.com,www.deswik.com,https://www.instagram.com/lifeatdeswik/,https://www.facebook.com/deswik,,,,https://www.linkedin.com/company/deswik-mining,,,
87,DIEMME FILTRATION,Италия,https://reg.iteca.kz/list/detailsfull.aspx?link=0x8160e9aa7a0cc79311ee34d7f6220166,ВИА ЛАНФРАНКО ГЕССИ 16+39 0545 20611,info@diemmefiltration.com,,,,,,,,,,
88,DISTRITECH ТОО,Казахстан - Алматы,https://reg.iteca.kz/list/detailsfull.aspx?link=0x8157a21980bd259d11eda8f509d18f06,+7 727 2280645,info@distritech.kz,www.distritech.kz,,https://www.facebook.com/people/Distritech/100086248754271,,,,https://www.linkedin.com/company/88912303,,,
89,"DONGWON EN-TEC CO.,LTD.",Южная Корея - Ulsan,https://reg.iteca.kz/list/detailsfull.aspx?link=0x90e7473507accc42b5644c80591b83f8,+82 52-249-8230,lani@dwentec.co.kr,www.dwentec.co.kr,,,,,,,,,
90,DRILL GECKO,Казахстан - Алматы,https://reg.iteca.kz/list/detailsfull.aspx?link=0x81597aeea421bb3d11edc0183f4ab40e,+7 702 221 70 00,balzhan@drillgecko.com,,@drillgecko,,,,,,,,
91,DUCHTING PUMPEN,Германия - Witten,https://reg.iteca.kz/list/detailsfull.aspx?link=0x5ba971e531e3bb40943b85b5cd82dd30,+49 2302 969 0,sales@duechting.com,www.duechting.com,,https://www.facebook.com/DuechtingPumpen/,https://www.youtube.com/channel/UC9JNaJNf3b5Gm8qSt3gTgVg,,,https://www.linkedin.com/company/duechtingpumpen,,,
92,DYNASET,Финляндия - Ylojarvi,https://reg.iteca.kz/list/detailsfull.aspx?link=0x8161cef8ebd4913f11ee35026933dc99,+358504412305,sergei.melnikov@dynaset.com,Sergei Melnikov,,,,,,,,,
