id,Title,Country-City,url,Phone,Email,Website,Instagram,Facebook,YouTube,Telegram,Vkontakte,Linkedin,Twitter,WhatsApp,Viber
11,"AESTHETICS GROUP, LLC",Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x5ea5049369f87e449e4c6abf90484b8c,"+7 (727) 250-77-02, +7 (777) 715-70-59",info@ucg.kz,www.ucg.kz,@ucg_kz     @laennec.kazakhstan,,,,,,,+7 (777) 715-70-59,
12,AGROS-INTERNATIONAL,Russia - Saint-Petersburg,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xa78dce07d308a245a7dc90f78d7e057e,88123038244,agros@agros-int.com,,,,,,,,,,
13,"AK INVEST, LLC",Russia - Barnaul,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xe4a94c7369bbb641a8ecc3cb535d8a61,8 (800) 550-01-54,info@nanobioproject.ru,www.nanobioproject.ru,,,,,,,,,
14,"AKTUBROENTGEN, JSC",Kazakhstan - Aktobe,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x8e8659462b88f34cbee1f6abe9d7a759,"+7 7132 921230, 921253",info@aktubroentgen.kz,www.aktubroentgen.kz,aktubroentgenkz,Aktubroentgenkz,https://youtube.com/@user-gx3km8rr7q,,,https://www.linkedin.com/company/aktubroentgen/,,,
15,"ALASH-KZ, LLP",Kazakhstan - Pavlodar,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x74c221a3705990479d397bc6c9b4bfba,"+7 701 7954986, +7 701 7653030",alash14@mail.ru,www.alashmed.kz,,,,,,,,+7 701 7954986,
16,ALFA-LAB COMPANY,Russia - Moscow,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x97540ecade53f444b9557ba533e649af,+7 (495) 374-53-33,info@alfa-lab.com,www.cleanroomshop.ru,,,,,,,,,
17,ALFAMEDEX,Russia - Saint Petersburg,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x265e3c524596a040951012085fcb4b07,+7 800 777 22 55,sales@alfamedex.ru,www.alfamedex.ru,,,https://www.youtube.com/@Alfamedex,,,,,,
18,ALHANOOF FACTORY FOR MEDICAL AND LAB SUPPLIES,Jordan - Amman,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x04c3056a30d1d54fb5159c266055978b,00962791133303,manager@afcodispo.com,www.afcodispo.com,N/A,https://web.facebook.com/profile.php?id=100085174151874,N/A,N/A,VK: N/A,N/A,N/A,00962791133303,N/A
19,ALIFAX,Russia - Moscow,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x547ecc25721690488ef05bafd12cadfa,+7 495 544-50-55,info.russia@alifax.com,www.alifax.com,,,,,VK: https://vk.com/id680176900,,,,
20,"ALLGENE, LLC",Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x92225146e0452d4ba7ebfe022bb8ed44,+7 7710886200,office@allgene.kz,www.allgene.kz,,,,,,,,,
21,"ALLIANCE-MEDICA, LLP",Kazakhstan - Ust-Kamenogorsk,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x0c647230ad568b49bab817c1b42a05b4,"8 (7232) 49-29-67, 8 (7232) 49-29-68","contact@a-medica.kz, k.amrenova@a-medica.kz",www.a-medica.kz,,,,,,,,,
22,"ALLWAYS INTERNATIONAL KAZAKHSTAN, LLP",United Kingdom - Wickford,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x47156a788aa6dc4299f0184929c982d4,+44 1708227711,sales@allwaysinternational.com,www.allwaysinternational.com,,,,,,,,,
23,ALMATY MANAGEMENT UNIVERSITY / GRADUATE SCHOOL OF BUSINESS,Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xc02a9761417bc24ebaaee2fe43ff6c32,+77715580896,gsb@almau.edu.kz,www.gsb.almau.edu.kz,gsb.almau,,,,,,,,
24,"ALNAIR MEDICAL, LLC",Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x34dde6f81cf89945a47ad6c7c1546ad5,+7 771 444 66 42,office@alnair.kz,www.alnair.kz,Mindray_kz,,,,,,,+7 771 444 66 42,
25,"ALTAIR BIO, LTD",Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xf0ecc1d8527acc44a9a971d9d0059224,7 (727) 337 57 97,altairbiomed@gmail.com,www.saniplast.kz,,,,+77013533537,,,,+77013533537,+77013533537
26,AMA CO LTD,Russia - St-Petersburg,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x2762ffaa1c8ece47a622ecdb0ae18ffa,+7 812 3807699,ama@sp.ru,www.amamed.ru,,,,,,,,,
27,AMERICAN MOTION FITNESS,Russia - Saint-Petersburg,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x103b41ff4d560047ae5b2e42ebd84392,8 (812) 309 45 51; +7 (911) 735-36-86,info@amfp.ru,www.amfp.ru,,,@americanmotionfitness9503,+79117353686,VK: https://vk.com/amfp_ru,,,+79117353686,+79214407785
28,ANDREAS HETTICH GMBH & CO. KG,Germany - Tuttlingen,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xc2f41055d531e14b9937bc8c7cd127da,+49 (0)7461 705 0,info@hettichlab.com,www.hettichlab.com,,,https://www.youtube.com/c/HettichLabTechnology,,,https://www.linkedin.com/company/andreas-hettich-gmbh-&-co-kg/posts/?feedView=,,,
29,ARANNATI,Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x4174458f3ff575498ff216d06f3e8d00,8701 778 60 40,arannati@rambler.ru,,arannatiaesthetic,,,8 701 7786040,,,,8 701 778 60 40,
30,"ARTEL ENGINEERING, LLP",Kazakhstan - Атырау,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x64a9219febb05d48a00b28788e2d9ed2,+ 7 7122 75 42 75,artel.i@yandex.kz,www.medgas.kz,artel_engineering,,,,,,,,
31,"ASIA MEDICAL PARTNER, LLP",Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xbcd00663b44a4943b52b3154a77bb752,8 707 269 59 59,shop@asiamedical.kz,www.asiamedical.kz,,,,,,,,,
32,"ASNA KAZAKHSTAN, LLC",Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x08ea201e3b2ee04fb27bcc1bdbb83e61,+7 (727) 276 31 53,info@asna.kz,www.asna.kz,,,,,,,,,
33,"ASOMEDICA, LLC",Belarus - Minsk,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x04680b558b15ae45b204644eabda81de,"+375 17 307 7616, 298 5138",office@asomedica.by,www.asomedica.by,https://www.instagram.com/asomedica_company/,https://www.facebook.com/asomedica.by/,https://www.youtube.com/channel/UCjxGZ1PAioJhIORY4PHFutQ,,,,,,
34,"ASPECT MEDICAL, LLC",Russia - Yekaterinburg,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xc6e1a0dbbf6e8d4580ebc07ba525e75c,+7 (343) 3630312,mail@aspectmedical.eu,www.aspectmedical.eu,,,,,,,,,
35,"ASSURE TECH. (HANGZHOU) CO., LTD","China - Hangzhou, Zhejiang Province",https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xe38cf79c2639104f8ee9ef1b14a87dfa,+86-0571-81022693,liyan.yu@diareagent.com,www.diareagent.com,,https://www.facebook.com/Assure-Tech-109052565165048/?ref=pages_you_manage,https://www.youtube.com/channel/UCJKAz9cNKGmrjFu6rDYb6fg,,,https://www.linkedin.com/company/12946619/admin/,https://twitter.com/9CZNsRqirBrZyAa,,
36,ASTROCARD,Russia - Moscow,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x2d1dd97525233041848e353dab71d858,+7-495-956-75-89,shatalova@astrocard.ru,www.astrocard.ru,,,,,,,,,
37,ASTRODENT,Russia - Moscow,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xa395e1485a7cbf489ee4dfb535f7a7d8,+7 495 0127108,Info@td-astrodent.ru,www.td-astrodent.ru,,,,https://t.me/astrodenttd,,,,,
38,AWTECH,Russia - Moscow,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x83b29694c65f6f409f80d5a89e2d56ae,+7 (499) 322-99-34,info@awt.ru,www.awt.ru,https://www.instagram.com/awtec.ru/,https://facebook.com/rusawtech,https://www.youtube.com/user/TheAwtech,https://t.me/awtechrus,VK: https://vk.com/awtech,,,,
39,AXION,Russia - Izhevsk,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xe587fb1fd941cc46b4b9e61f0e20793a,"+7 (3412) 72-43-29, 51-24-20, 51-24-23",med@c.axion.ru,www.axion-med.ru,,,https://www.youtube.com/channel/UCbxTdyZLn8gmuOEBiJkgUfg,,VK: https://vk.com/public216558102,,,,
40,"EXPORT PROMOTION AGENCY UNDER THE MINISTRY OF INVESTMENT, INDUSTRY AND TRADE OF THE REPUBLIC OF UZBEKISTAN",Uzbekistan - Tashkent,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x95d36cdddfb7ed44bbc796b90b213cea,+99871 207 04 06,info@epauzb.uz,www.epauzb.uz,,,,,,,,,
41,"BAISHENG MEDICAL CO.,LTD",China - Guangdong,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x64784dd26dfa3a4192de0b0da74cc892,+86-13414167286,export2@bs0750.com,www.obs-medical.com,,,,,,,,+86-13414167286,
42,"BEIJING CHOICEMMED, LTD",China - Beijing,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x097b524c6e7da84b980995c0f0964bee,86  4008-111-981,market@choicemmed.com,www.choicemmed.com,,,,,,,,,
43,"BEIJING ZKSK TECHNOLOGY CO., LTD.",China - Beijing,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xb7fabaeb2fccc145af366e7f727ffc10,+ 8613260186661,Barbie@bjzksk.com,www.bjzksk.com/en,+8613260186661,+8613260186661,+8613260186661,+8613260186661,VK: +8613260186661,+8613260186661,+8613260186661,+8613260186661,+8613260186661
44,BELAND «IMEX» LTD.,Russia - Saint Petersburg,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x5765f5184d7ad24fa17cb3e7bd8484f3,+7 (812) 6-777-333,beland@beland.ru,www.beland.ru,,,,,,,,,
45,"BELASEPTIKA, CJSC","Belarus - Minsk region, Tsnjanka village",https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x2cdb689924fd2d408ac21d0cc118b07e,+37529 1601427,"info@belaseptika.by, makarenya@sanoborona.by",www.belaseptika.by,Belaseptika.by,,,+375291601427,,,,+375291601427,+375291601427
46,"BELAYA TEKHNIKA, LLP",Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xf5205bdfb93e544290e090dfb49a09a8,8(727)3908595,office@bt24,www.bt24.kz,https://www.instagram.com/bt24kz/,https://www.facebook.com/belayatekhnika/,,,,,,,
47,"BELINTELMED, LLC",Belarus - Minsk,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xe060756d69194647b0cc2904bec31129,+375 44 516 61 80,marketing@belintelmed.com,www.belintelmed.com,https://www.instagram.com/spirometri/,https://www.facebook.com/belintelmed/,https://www.youtube.com/@belintelmed,+375 44 516 61 80,VK: https://vk.link/spirometers,https://www.linkedin.com/company/belintelmed-ltd/,https://twitter.com/spirometri,+375 44 516 61 80,+375 44 516 61 80
48,"BELMEDPREPARATY, RUE",Belarus - Minsk,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x7ec8f1e0a5a7b641804201cb9da96aa0,+375 17 278-33-12,medic@belmedpreparaty.com,www.belmedpreparaty.com,https://www.instagram.com/belmedpreparaty/,https://m.facebook.com/belmedpreparaty/,https://youtube.com/channel/UCqMvE5uWC2XWYjlZ54c-hvQ,,VK: https://vk.com/belmedpreparaty,,,,
49,"BELPHARMPROM, THE PHARMACEUTICAL HOLDINGS COMPANY",Belarus - Minsk,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x87cd39370c6dec4e8da09a1b9006d209,+375 17 395 50 32,office@belpharmprom.by,www.belpharmprom.by,,,,,,,,,
50,"BERKATA MS, LLP",Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xeae51cbe809bb94c84436c2c9ed1d96c,+7 777 844-11-61,info@berkata.kz,www.berkata.kz,,,,,,,,777 844 1161,
51,"BEST 3D PRINT, LIMITED LIABILITY COMPANY",Russia - Moscow,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x8f13aad6fb0d504fa57c4a9f8484e4e7,+7(915)295-14-96,sb@best3d.ru,www.best3dprint.ru,,,,,,,,,
52,BIO RESEARCH FOR MEDICAL DIAGNOSTICS,Jordan - Amman,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xf966fc802ca05a43b5bfae82b05fff65,+962-6-4892525,sales@bioresearch.com.jo,www.bioresearch.com,,https://www.facebook.com/profile.php?id=100063786180636&mibextid=ZbWKwL,,,,,,https://wa.me/qr/URVA7OSZBCITD1,
53,"BIOFORM, SCIENTIFIC CENTER",Russia - Moscow,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x1a8a66032a8277448fc9eba8e8fa6cf6,+7 495 223 70 95,mail@bioform.ru,www.bioform.ru,,,https://www.youtube.com/@Bioformru,,,,,,
54,BIOLINE KAZAKHSTAN,Kazakhstan - Astana,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xa9e4681395a86541ac11353e0443e1e4,+7 (7172) 57 99 33,info@bioline.kz,www.bioline.ru,,,,,,,,,
55,BIOSS,"Russia - Moscow, Zelenograd",https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x7bacfbd365cb274e81843aac7ef432b0,+7 (495) 225-63-80,info@bioss.ru,www.bioss.ru,https://www.instagram.com/proctology_hal_rar/,,https://www.youtube.com/channel/UCYjJ_Wl39x4I_MCNxctWRkA,,,,,,
56,"BIOTECH SCIENTIFIC, LLP",Kazakhstan - Astana,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x6c53577d8efb354e8b343f9ff0aa4c20,+77787629430,info@biotech-sci.kz,www.biotech-sci.kz,,,,,,,,,
57,"BIOVITRUM, LLC",Russia - Saint-Petersburg,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xc2ac5e87592bb24a8fb4937a732fe89f,+78123050606,zakaz@biovitrum.ru,www.biovitrum.ru,,,https://www.youtube.com/@biovitrumnews,,VK: https://vk.com/histoclub,,,,
58,"BORIMED, JSC",Belarus - Borisov,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x96d2467403c08d479bf716d83c3838c1,+375177732261,borimed@borimed.com,www.borimed.com,https://www.instagram.com/borimed.belarus/,https://www.facebook.com/borimed.belarus/,,,,,,,
59,"BTL KAZAKHSTAN, LLC",Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x93bb7d5773690643b4f7b2e66fab597a,+7 727 313 23 71,"btl-kz@btlnet.com, sales.kz@btlnet.com",www.btlmed.kz,btl_kazakhstan,,,,,,,+7 701 993 96 39,
60,C3MEDICAL,France - Paris,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xc58fe839c6d6c542b2354b9dda50e38c,+33 (0)609 30 63 59,l.kislig@c3medical.com,www.c3medical.com,,,,,,,,,
61,"CAMOZZI, LLP",Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x25de09ae3de60d4085bbe0dd07583d47,+7 (727) 333-53-34,info@camozzi.kz,www.camozzi.kz,,,,,,,,,
62,"CAREFORU CO., LTD.",South Korea - Anyang,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x761c8ebe394a1b4caa195dc967e74ff5,+82-31-464-9785,jimmy@careforu.co.kr,www.careforu.co.kr,,https://www.facebook.com/careforucokr,https://www.youtube.com/watch?v=jlUOPeLJ1yw&t=64s,,,https://www.linkedin.com/company/careforulinkedin/mycompany/,,+82-10-3507-4368,
63,CELLY,Russia - Moscow,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x5492879b70a0ce4bacde1977f4212ee6,+7-(965)-321-48-72,az@celly.ai,www.celly.ai,,https://www.facebook.com/cellyteam/,https://www.youtube.com/@celly-ai-microscope615,@medicinelive,,https://www.linkedin.com/company/celly-ai,https://twitter.com/cellyteam,,
64,"CENTRE SATR, LLP",Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x2642e1de558d5d42bbbce6e2d6e53824,007-727-395 83 26,info@satr.kz,www.satr.kz,satr.kz,@CenterSATR,SATR96,CENTERSATRKZ,,,,"+7 707 969 1042, +7 747 234 7501",
65,"CHANNEL MEDICAL DEVICE CO., LTD",China - Kunshan,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xb0b47416bd84ff438819c30c68a17fab,+86 512 3685 7161,marketing@channel-mdi.com,www.channel-mdi.com,,,,,,https://www.linkedin.com/company/channel-medical-device-co-ltd/,,,
66,CHEMA DIAGNOSTICA,Italy - Monsano,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x4777b05fbad00f459c7d5d7a8c2d137d,+39 0731 605064,mail@chema.com,www.chema.com,,,,,,,,,
67,CITO FSUE,Russia - Moscow,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xe8ec77b79afb5f4683e0c5af180292cf,+7 (495) 450-28-52,info@cito-pro.ru,www.cito-pro.ru,,,,@fgupcito,VK: vk.com/fgup_cito,,,,
68,CODACO ELECTRONIC S.R.O.,Czech Republic - Valasske Mezirici,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xb664a90d9d929e4b9389148b425220d7,+420 571 612 405,obchod@codaco.cz,web: www.codaco.cz,,,,,,,,,
69,"COMPANY BEWI, LLC",Russia - Moscow,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xb946ace4efe19f46b870673bfdcd183e,"+7(499)2816768, доб. 212",sales@thetestme.com,www.thetestme.com,,https://www.facebook.com/profile.php?id=100087738851523,https://youtube.com/shorts/NskZ6btv56g?feature=share,,,,,,
70,CZECHTRADE,Czech Republic - Praha 2,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x1276416d3f0d584d8eb00e6da8250c4e,,,,,,,,,,,,
71,DELRUS,Russia - Moscow,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x04ddcd40b22e62478e959f4a3f2e4b24,+74951207700,delrus@delrus.ru,www.delrus.ru,,,,,,,,,
72,"DENTAFILL PLYUS, LLC",Uzbekistan - Tashkent,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x8d4d86e4a4248f4abf6ceecb17a8163f,(+99871)231-78-00,info@dentafill.uz,www.dentafill.uz,,,,,,,,,
73,"DENTALS PHARMA, LLC",Uzbekistan - Zaamin,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x99f044b2549cd54ca5ae4fb1c2624ab8,+99890-032-00-01,sales@dentals-pharma.com,www.dentals-pharma.com,,,,,,,,,
74,"DIAKIT, LLP",Kazakhstan - Karaganda,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xabc48a7cfea94a4a95e6dfc5da9a3691,8-7212-258-602,diakit@diakit.kz,www.diakit.kz,,,,,,,,,
75,"DIDA MEDICA, LLC",Kazakhstan - Shymkent,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xbcec9675ad06bd4abbd6243fd0117606,+7(7252)41-43-95,didamedica@mail.ru,www.didamedica.kz,,,,,,,,,
76,"DOLCE-PHARM, LLP",Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xbf9d20bcd9ac234dabb58535fb1b6e62,+7 702 216 7166,smm@dolcepharm.kz,www.dolcepharm.kz,dolcepharm.kz,,,,,,,+7 771 104 1201,
77,"DOS ORTOPEDIA, LTD",Kazakhstan - Astana,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x675a53919c50ad40a6041cef47fc9d12,77027778375,dos.ortopedia.kz@gmail.com,www.dos-ortopedia.kz,,,,,,,,,
78,"ECOPHARM / ECOPHARM INTERNATIONAL, TOO",Kazakhstan - Shymkent,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x8f8a5cd18210e844847f3057e3a105e0,+7 (7252) 39-10-00,office@ecopharm.kz,www.ecopharm.kz,,,,,,,,,
79,"EDANMED, LLP",Kazakhstan - Astana,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x9c7317af952f734cad3e43b297bab65f,+77754855885,edanmed@mail.ru,www.edan.com,,,,,,,,,
80,"EGRO, LLP",Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xbf6217a0acbf8740a3eba32e599868c5,8 727 317 20 70,egro-kz@mail.ru,www.egro.kz,,,,,,,,,
81,"EIRA MED, LLC",Kazakhstan - Astana,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x9783675f57473a4d8eb2600c32197e54,8 (7172) 73-47-89,info@eiramed.kz,www.eiramed.kz,,,,,,,,,
82,"EKOLAB KZ, LLP",Kazakhstan - Ust-Kamenogorsk,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x3ae666ab4dddcd4eae2993f336ab3c1d,8-708-330-64-17,ekolabkz@mail.ru,www.ekolabkz.kz,,,,,,,,+7(708)330-64-17,
83,"EKZON, OJSC",Belarus - Drogichin,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xb2bbcc3e869f7b4e9ef7bd2379b01348,+375164420002,bm@ekzon.by,www.ekzon.by,ekzon_belarus,EKZONBELARUS,,,,,,,
84,"ELAMED-KZ, LLP",Kazakhstan - Kostanay,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xfe33eb3d6515ac489e545a8bee4aadc2,+7 747 6858265,"anuarbek@elamed.com, anuarbekfariza@mail.ru",www.elamed.kz,@elamed.kz,,,,,,,87476858265,
85,"ELEPS, RESEARCH AND PRODUCTION COMPANY, LLC",Russia - Kazan,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0xdea3bcd7f16f2749b76889d718a89e87,8 800 700 87 03,info@eleps.ru,www.eleps.ru,,,https://www.youtube.com/channel/UCwhCkh62OBbqXnspbxDfACA,,VK: https://vk.com/elepsru,,,,
86,EXPERT MEDIKAL,Russia - Moscow,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x06533de0082896468fbe87ae30c84cf9,+74956410468,office@exmedikal.ru,www.exmedikal.ru,,,,,,,,+79262086000,
87,EXPERTISE FRANCE (GROUP AFD),France - Astana (local office),https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x6a395de324dcf141b3bacbd43da2f03a,+7 777 551 5125,alexandra.thircuir@expertisefrance.fr,www.expertisefrance.fr,,,,,,,,,
88,"EXPOMED, LLP",Kazakhstan - Astana,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x5add5fbcb0c724429f3412f0041c4b62,+77472275837,expomed2017@mail.ru,www.too-ekspomed.satu.kz,,,,,,,,,
89,"EXPORTPHARM, JSK",Russia - Moscow,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x8ada262b99bc2a4f87d1e09ad522317c,+7 (495) 772-99-77,info@exportff.ru,www.exportff.com,,,,,,,,,
90,"FARMACTIV, LLP",Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x1325f7827d75c14ca12bd235a4a46b6f,+77273822377,a1@farmaktiv.com,www.farmaktiv.kz,,,,,,,,+77017383171,
91,"FARMAKS-2, LLP",Kazakhstan - Kostanay,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x28f8664f082086438f5f97e6b70560f5,+77055036182,kstischenko@farmaks2.kz,www.pharmaks2.kz,,,,,,,,,
92,"FAZO-LUXE, LLC","Uzbekistan - Tashkent region, Tashkent district",https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x278938bb9f291b458e77ca8afa074c75,+99893 546 33 03,anastasiya.ugp@yandex.ru,www.fazo-luxe.uz,,,,,,,,,
93,"FIATOS, LLP",Kazakhstan - Almaty,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x94a1d85ea722dc42a30278a0cf0b5ee7,+7 707 527 3995,vs@vetmed.kz,www.fiatos.kz,,https://www.facebook.com/people/fiatoskz/,,https://instagram.com/fiatos.kz?igshid=YmMyMTA2M2Y=,,,,+7 707 527 3995,
94,"FOCAL-SPOT, LLC",Russia - Ivanovo,https://reg.iteca.kz/list/en/detailsfull.aspx?link=0x32b871203271a14f918000f6634e5ce2,+7 960 505 75 07; +7 910 691 83 63,sales@focal-spot.ru,www.focal-spot.ru,,,,+7 960 505-75-07,,,,+7 960 505-75-07,
